weightScenarioId,rank,candidateId,name,score,baselineRank,bestRank,worstRank,meanRank,top5AppearanceRate,rankStabilityClass,detourSensitivityClass,optimisticImprovementMeters,lowerBoundAdjustedImprovementMeters,conservativeProxyImprovementMeters,twoAxisClassification,isParetoNonDominated
baseline,1,shinjuku-facility-131041000179,新宿観光振興協会,222.36,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
baseline,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,110.24,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
baseline,3,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,108.06,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
baseline,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,87.2,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
baseline,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,60.78,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
baseline,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,60.04,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
baseline,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,1.82,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
baseline,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-48.82,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
improvementMeters_minus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,210,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
improvementMeters_minus_20_percent,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,106.28,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
improvementMeters_minus_20_percent,3,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,83.12,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
improvementMeters_minus_20_percent,4,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,67.14,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
improvementMeters_minus_20_percent,5,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,32.8,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
improvementMeters_minus_20_percent,6,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,31.62,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
improvementMeters_minus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,-17.74,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
improvementMeters_minus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-64.54,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
improvementMeters_plus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,234.72,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
improvementMeters_plus_20_percent,2,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,148.98,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
improvementMeters_plus_20_percent,3,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,114.2,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
improvementMeters_plus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,91.28,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
improvementMeters_plus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,89.94,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
improvementMeters_plus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,87.28,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
improvementMeters_plus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,21.38,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
improvementMeters_plus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-33.1,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
improvementRatio_minus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,218.77,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
improvementRatio_minus_20_percent,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,109.11,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
improvementRatio_minus_20_percent,3,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,96.17,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
improvementRatio_minus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,86.04,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
improvementRatio_minus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,52.3,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
improvementRatio_minus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,48.95,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
improvementRatio_minus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,-3.86,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
improvementRatio_minus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-53.3,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
improvementRatio_plus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,225.95,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
improvementRatio_plus_20_percent,2,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,119.95,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
improvementRatio_plus_20_percent,3,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,111.37,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
improvementRatio_plus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,88.36,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
improvementRatio_plus_20_percent,5,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,71.13,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
improvementRatio_plus_20_percent,6,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,69.26,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
improvementRatio_plus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,7.5,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
improvementRatio_plus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-44.34,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
routeProximity_minus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,216.24,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
routeProximity_minus_20_percent,2,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,102.06,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
routeProximity_minus_20_percent,3,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,100.08,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
