施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
トラットリア ダイ パエサーニ,2020/2/4,1690051,131041,東京都,新宿区,西早稲田2-18-19,03-6457-3616,https://r.gnavi.co.jp/dsmnhd9b0000/,35.71099417,139.7112192,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,97,無,3,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,無,
上野精養軒 本店,2020/3/6,1100007,131067,東京都,台東区,上野公園4-58,03-3821-2181,https://www.seiyoken.co.jp/,35.714252,139.772148,有,55,有,2,有,2,12,150,80,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,155,無,,有,無,無,無,無,有,1,4F,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,有,15,無,,無,,有,3,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
幸せのパンケーキ 表参道店,2020/2/23,1500001,131130,東京都,渋谷区,神宮前4-9-3  清原ビルB1F,03-3746-8888,https://magia.tokyo/shop,35.66754056,139.71103,無,,無,,有,1,6,124,77,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,120,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
東京 芝 とうふ屋うかい,2022/1/27,1050011,131032,東京都,港区,芝公園4-4-13,03-3436-1028,https://www.ukai.co.jp/shiba/,35.657415,139.744941,無,,有,7,有,1,6,114,80,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,140,無,,有,無,無,無,無,有,1,1F,無,,,無,無,有,無,,無,,無,,無,,無,,無,,無,,有,12,無,,無,,有,2,無,,無,,無,,有,2,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
ブラッカウズ,2020/2/20,1500021,131130,東京都,渋谷区,恵比寿西2-11-9 東光ホワイトビル1F,03-3477-2914,http://kuroge-wagyu.com/bc/,35.64946583,139.7071097,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,94,無,19,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
IVY PLACE,2020/2/21,1500033,131130,東京都,渋谷区,猿楽町16-15,03-6415-3232,https://www.tysons.jp/ivyplace/,35.64936833,139.6999992,有,120,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,89,無,4,無,無,無,無,無,有,1,1F,無,,,無,無,無,無,,有,2,無,,無,,無,,無,,無,,有,14,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
両国 江戸NOREN,2020/2/5,1300015,131075,東京都,墨田区,横網1-3-20,03-6658-8033,http://www.jrtk.jp/edonoren/,35.69623306,139.7926411,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正面入口,有,無,150,無,,有,無,無,無,無,有,1,1F,無,,,無,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,無,
うかい鳥山,2022/1/28,1930846,132012,東京都,八王子市,南浅川町3426,042-661-0739,https://www.ukai.co.jp/toriyama/,35.615984,139.257249,有,100,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,165,無,12,有,無,無,無,無,有,2,1F,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,有,15,無,,無,,有,3,無,,無,,無,,有,2,無,,有,事前の予約時に申し入れておけば対応可,有,営業時間内,有,無,無,無,無,無,無,"""大小約30棟ほどの建物で構成されています。一部の建物は入口が階段しかないため車いすで行くことはできませんが、大半の建物はスロープやバリアフリー対応をしております。 """
雑魚や紀洋丸,2020/2/18,1000101,133612,東京都,大島町,元町馬の背262-26,04992-2-1414,,35.69440806,139.7916514,有,20,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,80,無,9,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,無,正式玄関は車椅子で通れないがスロープ利用し、窓から入ってもらいます。
名代一休庵,2020/2/21,1001401,134015,東京都,八丈島八丈町,大賀郷2473,04996-2-3369,,33.10989528,139.7895908,有,10,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,76,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
