施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
明治神宮外苑 明治神宮野球場,2020/2/3,1600013,131041,東京都,新宿区,新宿区霞ケ丘町3-1,03-3404-8999,http://www.jingu-stadium.com/,35.67455833,139.7170581,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1入口,無,無,394,無,,有,無,無,無,無,有,3,1F,有,1,1F,無,有,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,プロ野球興行時のみ対応可,無,無,無,無,無,無,有,車椅子の入場ゲートは1番のほか13番ゲートもあるが、共に現在工事中。
GINZA KABUKIZA,2024/11/10,1040061,131024,東京都,中央区,中央区銀座4-12-15,,https://kabuki-za.co.jp/,35.66963806,139.7677072,有,224,有,5,有,2,18,175,88,有,有,有,1,13,140,88,,,,,,,,,,,,,,,,,,,,,,,,,正面入口,無,無,95,無,,有,有,有,有,有,有,11,"B3,B2,B1,1F,2F,3F,4F,5F",有,11,"B3,B2,B1,1F,2F,3F,4F,5F",有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,2,無,,無,,無,,無,無,無,無,無,無,無,
コスモプラネタリウム渋谷,2024/11/25,1500031,131130,東京都,渋谷区,渋谷区桜丘町23-21,03-3464-2131,https://www.shibu-cul.jp/planetarium,35.65549139,139.6999278,無,,無,,有,3,22,184,109,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,エントランスロビー,有,無,120,無,,有,有,有,無,無,有,1,12F,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,1,無,,無,,有,平日12:00～20:00、土日祝10:00～20:00,無,無,無,無,無,無,有,
三菱一号館美術館,2020/2/20,1000005,131016,東京都,千代田区,千代田区丸の内2-6-2,050-5541-8600,https://mimt.jp/,35.67846222,139.7633183,無,,無,,有,2,15,176,89,有,有,有,1,14,192,88,,,,2,16,127,131,,,,,,,,,,,,,,,,,,中庭口,有,有,127,無,,有,有,有,有,無,有,1,1F,有,1,1F,無,有,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,有,2,有,4,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
上野の森美術館,2022/1/29,1100007,131067,東京都,台東区,台東区上野公園1-2,03-3833-4191,https://www.ueno-mori.org,35.71273444,139.7748231,無,,無,,有,1,16,134,160,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本館入口,有,無,166,無,,有,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,有,1,無,,無,,有,開館時間中,無,無,無,無,無,無,有,
フジテレビジョン,2020/2/27,1350091,131032,東京都,港区,港区台場2-4-8,,https://www.fujitv.co.jp/,35.626891,139.774425,無,,無,,有,1,15,145,85,有,無,有,2,24,170,110,,,,1,30,210,145,,,,1,15,145,85,,,,,,,,,,,フジテレビモール（北側）,有,無,152,無,,有,有,有,無,無,有,6,"1F,5F,7F,24F,25F",無,,,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,有,10:00～18:00,無,無,無,無,無,無,有,
東京ジョイポリス,2020/2/6,1350091,131032,東京都,港区,港区台場1-6-1 デックス東京ビーチ  3F～5F,03-5500-1801,https://tokyo-joypolis.com,35.62903694,139.7755131,無,,無,,有,1,31,259,150,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,90,無,,有,無,無,無,無,有,2,"1F,3F",無,,,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,有,3,有,1,無,,無,,無,,有,5,無,,無,,有,10:00～22:00(営業時間内),無,無,無,無,無,無,有,
六本木ヒルズ展望台 東京シティビュー,2024/12/16,1060032,131032,東京都,港区, 港区六本木 6-10-1 六本木ヒルズ森タワー52F,03-6406-6652,https://tcv.roppongihills.com/,35.66040028,139.729245,無,2762,無,5,有,5,22,190,108,有,有,有,2,15,156,89,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,183,無,,有,無,無,無,無,有,1,52F,無,1,,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,6,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,有,
東京タワー,2024/12/11,1050011,131032,東京都,港区,港区芝公園4-2-8,03-3433-5111,https://tokyotower.co.jp/,35.65854444,139.74549,有,200,有,4,有,3,32,240,125,有,有,有,2,23,220,95,,,,1,13,210,76,,,,1,12,179,80,,,,,,,,,,,フットタウン1階正面玄関,有,無,155,無,,有,無,無,無,無,有,4,"1F,2F",有,2,2F,有,無,無,無,,無,,無,,有,8,無,,無,,無,,有,8,無,,有,1,有,5,無,,無,,無,,有,15,無,,無,,有,営業時間内,無,無,無,無,無,無,有,
アーク森ビル,2020/2/13,1070052,131032,東京都,港区,港区赤坂1-12-32,,https://www.arkhills.com/,35.66714556,139.7400175,有,126,有,2,有,3,13,142,90,有,有,有,1,30,278,140,,,,1,9,123,90,,,,,,,,,,,,,,,,,,溜池山王駅側入口,有,有,120,無,,有,有,有,無,無,有,3,"1F,2F,3F",有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,4,無,,無,,有,8:30～19:00,無,無,無,無,無,無,有,
