施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
国民公園　新宿御苑,2022/1/25,1600014,131041,東京都,新宿区,内藤町11,03-3350-0151,http://www.env.go.jp/garden/shinjukugyoen/,35.68517611,139.7096017,有,200,有,5,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,17,1F,有,9,1F,無,無,無,無,,無,,無,,有,5,無,,無,,無,,無,,無,,無,,有,18,無,,無,,無,,有,18,無,,無,,有,開園時間中,無,無,無,無,無,無,有,http://www.fng.or.jp/shinjuku/
新宿区立新宿中央公園,2024/11/19,1600023,131041,東京都,新宿区,西新宿2-11-1,03-3342-4509,https://parks.prfj.or.jp/shinjuku/,35.68933778,139.6898986,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,無,無,有,5,1F,有,5,1F,無,無,無,無,,無,,無,,有,あり,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,5,無,,無,,有,24時間対応可能,無,無,無,無,無,無,有,
神田神社,2020/2/21,1010021,131016,東京都,千代田区,外神田2-16-2,03-3254-0753,https://www.kandamyoujin.or.jp/,35.70207167,139.7679278,有,20,無,,有,1,9,173,80,有,有,有,1,24,197,100,,,,,,,,,,,,,,,,,,,,,,,,,神田明神文化交流館入口,有,有,210,無,,有,有,有,有,無,有,3,"B1,1F",有,3,"B1,1F",無,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,5,無,,無,,有,9:00～17:00,無,無,無,無,無,無,有,
明治神宮,2024/11/8,1510052,131130,東京都,渋谷区,代々木神園町1-1,03-3379-5511,https://www.meijijingu.or.jp/,35.676261,139.699404,有,129,有,2,有,1,15,165,88,有,有,無,1,15,135,80,,,,,,,,,,,,,,,,,,,,,,,,,フォレストテラス入口,有,有,150,無,,有,無,無,無,無,有,2,"B1F,1F",有,1,1F,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,18,無,,無,,有,8,無,,無,,無,,有,4,無,,無,,有,営業時間内,無,無,無,無,無,無,有,
日枝神社,2023/2/8,1000014,131016,東京都,千代田区,永田町2-10-5,03-3581-2471,https://www.hiejinja.net/,35.67475361,139.7395547,有,50,有,1,無,,,,,無,無,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,1F,無,,,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,有,2,無,,無,,有,開門～閉門,無,無,無,無,無,無,有,参道にはエスカレーターが上り下りともに設置されています
築地本願寺,2020/3/4,1040045,131024,東京都,中央区,築地三丁目15-1,03-3541-1131,https://tsukijihongwanji.jp/,35.666496,139.772258,有,56,有,2,有,1,9,162,80,有,有,有,1,9,162,80,,,,1,11,136,75,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,5,"1F,2F",有,1,1F,無,無,有,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,有,2,無,,無,,無,,無,無,無,無,無,無,有,
池上本門寺,2020/2/11,1460082,131113,東京都,大田区,池上1-1-1,03-3752-2331,http://honmonji.jp/,35.57903083,139.7052736,有,100,有,1,有,1,11,135,85,無,無,有,1,11,135,75,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,2,4F,無,,,無,有,有,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,6,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,寺務所横の朗峰会館内にエレベーターやだれでもトイレあり。階段昇降機が大堂の中・裏側にあり
武蔵御嶽神社,2024/12/4,1980175,132055,東京都,青梅市,御岳山176,0428-78-8500,http://musashimitakejinja.jp/,35.78281556,139.1498356,有,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,8:30～16:30,無,無,無,無,無,無,無,駐車場：御岳登山鉄道（ケーブルカー）併設の駐車場を利用 <br>施設内：バリアフリー化には対応していません
東京都立羽伏浦公園,2020/1/31,1000400,133639,東京都,新島村,字檜山,,,34.378291,139.272869,有,84,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
大島公園椿園,2020/2/11,1000103,133612,東京都,大島町,泉津字福重２,04992-2-9111,https://www.soumu.metro.tokyo.lg.jp/11osima/park/www/htdocs/parkindex.html,34.763724,139.432831,有,11,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,360,無,,無,無,無,無,無,有,1,1階,有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,有,2,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,有,貸出用備品は、大島公園インフォメーションセンターにて貸出
