施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
台東区立浅草文化観光センター,2024/11/13,1110034,131067,東京都,台東区,雷門2-18-9,03-3842-5566（9:00～20:00）,https://www.city.taito.lg.jp/bunka_kanko/kankoinfo/info/oyakudachi/kankocenter/index.html,35.71065306,139.7965383,無,,無,,有,1,15,146,90,有,有,有,1,9,110,80,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,203,無,,有,有,有,有,無,有,3,"1F,4F,7F",有,1,1F,無,無,無,無,,無,,無,,有,3,無,,無,,無,,無,,無,,有,5,有,7,無,,無,,無,,有,1,無,,無,,有,9:00～20:00,無,無,無,無,無,無,有,
渋谷区立松濤美術館,2024/11/19,1500046,131130,東京都,渋谷区,松濤2-14-14,03-3465-9421,https://shoto-museum.jp/,35.65867722,139.6917658,無,,無,,有,1,20,160,110,有,無,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正面玄関,有,有,168,無,,有,無,無,無,無,有,2,"B1,2F",無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,2,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
LINE CUBE SHIBUYA（渋谷公会堂）,2020/2/3,1500042,131130,東京都,渋谷区,宇田川町１?１,03-5457-3304,https://linecubeshibuya.com/,35.66407944,139.6985114,有,20,有,1,有,1,18,200,90,有,有,有,1,11,155,90,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,190,無,,有,有,有,有,有,有,5,"B1,1F,2F,4F,5F",有,4,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,5,無,,無,,有,9:00～17:00,無,無,無,無,無,無,有,
東京国立博物館（本館）,2023/2/14,1100007,131067,東京都,台東区,上野公園13-9,050-5541-8600（ハローダイヤル）,https://www.tnm.jp/,35.7188269,139.776264,無,,有,数,有,1,26,200,110,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,玄関,有,有,100,無,,有,無,無,無,有,有,6,地下１階２か所、１階２か所、２階２か所,有,1,地下１階,無,無,無,無,,無,,無,,有,あり,無,,無,,無,,無,,無,,有,あり,有,あり,無,,無,,有,あり（点訳版パンフレットを本館インフォメーションで配布）,有,あり（各階トイレ合計5か所）,無,,無,,有,可,無,無,無,無,無,無,無,
独立行政法人国立科学博物館,2024/12/10,1100007,131067,東京都,台東区,上野公園 7-20,03-3822-0111,https://www.kahaku.go.jp/,35.71546722,139.7758267,無,,有,2,有,備考欄参照／,備考欄参照／,備考欄参照／,備考欄参照／,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,常設展入口,有,有,150,無,,有,有,有,有,有,有,15,"日本館B1,1F,2F<br>地球館B3,B2,B1,1F,M2F,2F,3F,特別展内",有,2,日本館 2F<br>地球館 1F,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,有,2,有,2,無,,無,,無,各　所,有,"15（日本館B1,1F,2F　地球館B3,B2,B1,1F,M2F,2F,3F,特別展内　各だれでもトイレ内）",無,,無,,有,開館時間内（9:00～17:00）,無,無,無,無,無,無,有,"<br>エレベータ一覧<br>常設展入口 ①  台数:1台 定員:9人 入口幅:90cm 奥行:160cm <br>日本館 ②  台数:1台 定員:15人 入口幅:90cm 奥行:150cm   <br>日本館 ③  台数:2台 定員:15人 入口幅:90cm 奥行:150cm  <br>全球型映像施設（シアター36O）出入口 ④   台数:1台 定員:13人 入口幅:90cm 奥行:135cm  <br>地球館  ⑤   台数:1台 定員:9人 入口幅:80cm 奥行:145cm  <br>地球館 ⑥ 台数:1台 定員:13人 入口幅:90cm 奥行:129cm   <br>地球館 ⑦ 台数:2台 定員:13人 入口幅:90cm 奥行:155cm   <br>特別展入口 ⑧  台数:1台 定員:13人 入口幅:90cm 奥行;135cm  <br>特別展出口 ⑨  台数:1台 定員:13人 入口幅:90cm 奥行:136cm <br>日本館―地球館連絡通路 ⑩  台数:1台 定員:13人 入口幅:90cm 奥行:129cm <br><br>だれでもトイレ一覧   <br>日本館 3ヶ所　設置フロア  B1,1F,2F <br>地球館 9ヵ所　設置フロア　B3,B2,B1,1F,M2F,2F.3F <br>特別展 2ヵ所　設置フロア　B1,みどり館B1"
国立西洋美術館,2023/2/14,1100007,131067,東京都,台東区,上野公園7-7,050-5541-8600（ハローダイヤル）,https://www.nmwa.go.jp/,,,無,,無,,有,1,11,143,90,有,有,有,1,9,119,85,,,,1,13,170,90,,,,,,,,,,,,,,,,,,正面出入口,有,無,130,無,,有,無,無,無,無,有,1,1F,有,1,1F,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,8,無,,無,,無,,有,4,無,,有,,有,開館時間中,無,無,無,無,無,無,無,
日本科学未来館,2024/11/25,1350064,131083,東京都,江東区,青海2-3-6,03-3570-9151,https://www.miraikan.jst.go.jp/,,,有,167,有,4,有,2,24,190,97,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正面入口,有,無,133,無,,有,有,有,有,有,有,5,"1F,3F,5F,6F,7F",有,5,"1F,3F,5F",有,無,無,無,,無,,無,,有,あり,無,,無,,無,,有,20,無,,有,13,有,7,無,,無,,無,一部あり,有,11,無,,無,,有,10:00～17:00(休館日を除く),無,無,無,無,無,無,有,
国立新美術館,2024/12/17,1060032,131032,東京都,港区,六本木7-22-2,050-5541-8600,https://www.nact.jp/,35.66514944,139.7263825,無,,有,3,有,1,15,158,99,有,有,有,2,24,185,109,,,,1,13,142,89,,,,2,15,158,99,,,,1,26,210,100,,,,正面入口,有,有,148,無,,有,有,有,有,無,有,10,"B1,1F,2F,3F",有,1,1F,有,無,無,無,,無,,無,,有,3,無,,無,,無,,無,,無,,有,8,有,12,無,,無,,無,,有,10,無,,無,,有,火曜日以外の9:30～18:00、金・土曜9:30～20:00,無,無,無,無,無,無,有,
国立国会図書館 東京本館,2024/11/8,1000014,131016,東京都,千代田区,永田町1-10-1,03- 3581-2331,https://www.ndl.go.jp/,35.67844222,139.7442092,有,27,有,2,有,2,13,135,88,有,有,有,2,13,135,90,,,,,,,,,,,,,,,,,,,,,,,,,利用者入口,有,有,177,無,,有,有,有,有,有,有,6,"1F,2F,3F,4F",有,2,2F（出入口フロア）,無,無,無,無,,無,,無,,有,2,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,無,,無,,無,,有,開館時間内（9:30～19:00、土曜日9:30～17:00）,無,無,無,無,無,無,無,画像は国立国会図書館ウェブサイトより
刀剣博物館,2020/2/3,1300015,131075,東京都,墨田区,横網1-12-9,03-6284-1000,https://www.touken.or.jp/museum/,35.69886556,139.7937158,有,3,有,1,有,1,20,170,95,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,180,無,,有,有,有,有,無,有,2,"1F,3F",有,2,"1F,3F",無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,有,1,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,無,
