施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
伊勢丹新宿本店,2020/2/26,1600022,131041,東京都,新宿区,新宿3-14-1,03-3352-1111,https://www.isetan.mistore.jp/shinjuku.html,35.69163306,139.7045933,有,954,有,18,有,2,22,198,120,有,有,有,2,20,184,120,,,,4,21,182,150,,,,2,26,187,140,,,,,,,,,,,本館正面玄関,無,無,200,無,,有,無,無,無,無,有,4,本館B1F、2F、5F、7F,有,2,"5F,7F",有,無,無,無,,無,,無,,有,3,無,,無,,無,,有,レストラン街「イートパラダイス」各店舗　可,無,,有,-,有,-,無,,無,,無,,有,58,無,,無,なし,有,営業時間内,無,無,無,無,無,無,有,
ニュウマン新宿,2020/2/17,1600022,131041,東京都,新宿区,新宿4-1-6,03-5334-0550（ルミネ・ニュウマン総合コールセンター）,https://www.newoman.jp/shinjuku/,35.68856722,139.7014075,有,"※2023年11月現在
172",無,,有,2,24,223,99,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Fメインエントランス,有,無,258,無,,有,無,無,無,無,有,2,"M2F,4F",有,2,"M2F,4F",有,無,無,無,,無,,無,,有,3,無,,無,,無,,有,-,無,,有,5,無,,無,,無,,無,,有,2,無,,無,,有,ファッションフロア営業時間に準ずる　※営業時間詳細はニュウマン新宿HPをご覧ください。,無,無,無,無,無,無,有,
タイムズスクエアビル（新宿高島屋）,2020/2/18,1510051,131130,東京都,渋谷区,千駄ヶ谷5-24-2,03-5361-1111,-,35.68747806,139.7022725,有,751,有,3,有,7,26,228,120,有,有,有,1,15,162,90,,,,,,,,,,,1,11,143,78,,,,2,20,160,110,,,,2FJR口,有,無,200,無,,有,有,有,無,無,有,15,"B2,B1,1F,2F,4F,5F,6F,7F,8F,9F,10F,12F,13F,14F",有,3,"7F,10F,13F",有,無,無,無,,無,,無,,有,1,無,,無,,無,,有,-,無,,有,60,有,7,無,,無,,無,,有,50,無,,有,営業時間内,有,営業時間内,無,無,無,無,無,無,有,
紀伊國屋ビル（紀伊國屋書店新宿本店）,2024/11/13,1600022,131041,東京都,新宿区,新宿3-17-7,03-3354-0131,https://store.kinokuniya.co.jp/store/shinjuku-main-store/,35.69223444,139.7030233,無,,無,,有,1,14,173,89,有,有,有,1,14,173,89,,,,1,13,158,86,,,,,,,,,,,,,,,,,,入口広場,無,無,268,無,,有,無,無,無,無,有,1,7F,無,,,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,なし,無,,無,,無,,無,,有,4,無,,無,,有,10:30～21:00,無,無,無,無,無,無,無,
GINZA SIX,2024/12/17,1040061,131024,東京都,中央区,銀座6-10-1,03-6891-3390,https://ginza6.tokyo/,35.66957417,139.7640675,有,423,有,1,有,6,24,183,141,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,200,無,,有,有,有,有,無,有,13,"B4F,B2F,B1F,3F,4F,5F,6F,13F",有,13,"B4F,B2F,B1F,3F,4F,5F,6F,13F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,15,有,2,無,,無,,無,,有,3,無,,無,,有,10:30～20:30,無,無,無,無,無,無,有,
三越銀座店,2020/2/17,1040061,131024,東京都,中央区,銀座4-6-16,03-3562-1111,https://www.mitsukoshi.mistore.jp/ginza.html,35.67133194,139.7657053,有,399,有,1,有,3,27,275,129,有,有,有,3,25,118,178,,,,,,,,,,,,,,,,,,,,,,,,,ライオン口,無,無,182,無,,有,無,無,無,無,有,12,"B2F,B1F,M2F,2F,3F,4F,5F,7F,8F,9F,10F,11F,12F ",有,12,"B2F,B1F,M2F,2F,3F,4F,5F,7F,8F,9F,10F,11F,12F",有,無,無,無,,無,,無,,有,4,無,,無,,無,,有,-,無,,有,20,有,5,無,,無,,無,,有,-,無,,無,,有,10:00～20:00,無,無,無,無,無,無,有,
松屋銀座,2024/11/25,1040061,131024,東京都,中央区,銀座3-6-1,03-3567-1211,https://www.matsuya.com/ginza/,35.67226611,139.7666547,有,180,有,1,有,5,22,184,125,有,有,有,1,18,174,120,,,,,,,,,,,,,,,,,,,,,,,,,正面入口,有,無,195,無,,有,無,無,無,無,有,7,"1F,5F,6F,7F,8F,RF",有,5,"1F,5F,6F,7F,8F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,9,有,7,無,,無,,無,,有,13,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,有,
渋谷ヒカリエ,2022/2/7,1500002,131130,東京都,渋谷区,渋谷2-21-1,03-5468-5892,http://www.hikarie.jp/,35.65900944,139.7035447,有,402,有,3,有,3,24,175,120,有,有,有,2,24,165,110,,,,3,15,150,90,,,,1,13,135,90,,,,1,23,210,110,,,,1FJR駅スクランブルスクエア側入口,有,無,155,無,,有,有,有,有,無,有,11,"B3,B2,B1,3F,4F,5F,6F,7F,8F,9F,11F",有,11,"B3,B2,B1,3F,4F,5F,6F,7F,8F,9F,11F",有,無,無,無,,無,,無,,有,2,無,,無,,無,,無,,無,,有,9,有,2,無,,無,,無,,有,11,無,,無,,有,10:00～21:00,無,無,無,無,無,無,有,
SHIBUYA109,2020/2/18,1500043,131130,東京都,渋谷区,道玄坂2-29-1,03-3477-5111,https://www.shibuya109.jp/,35.65957472,139.69877,無,,無,,有,2,18,160,128,有,有,有,,,,,,,,1,13,152,86,,,,,,,,,,,,,,,,,,,無,無,160,無,,無,有,無,有,無,有,1,8F,有,1,8F,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,-,無,,無,,有,10:00～21:00（正面口のみ）,無,無,無,無,無,無,有,
渋谷ストリーム,2024/11/25,1500002,131130,東京都,渋谷区,渋谷3-21-3,0570-050-428,https://shibuyastream.jp/,35.65722306,139.7030683,有,197,有,1,有,4,13,135,90,有,有,有,1,13,130,90,,,,,,,,,,,2,15,150,88,,,,,,,,,,,,有,無,145,無,,有,有,無,有,無,有,6,"B1,2F,3F,4F",有,5,2F,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,有,10,有,3,無,,無,,無,,有,1,無,,無,,有,10:00～21:00(12月31日～1月3日を除く) |10:00～20:00(1月2日、3日) |10:00～18:00(12月31日),無,無,無,無,無,無,有,
